feature,dtype,role,pearson_correlation,absolute_correlation,association_type,association_strength,allowed_in_proxy_inclusive,allowed_in_proxy_removed
Social_Interaction_Score,float64,candidate_predictor,0.12445830739663338,0.12445830739663338,univariate_linear_r2,0.015489870280035012,True,True
Daily_Calorie_Intake,int64,candidate_predictor,0.11039031691414801,0.11039031691414801,univariate_linear_r2,0.01218602206840591,True,True
Alcohol_Consumption,str,candidate_predictor,,,eta_squared,0.010632468650140774,True,True
Meditation_Practice,str,candidate_predictor,,,eta_squared,0.008956083432114594,True,True
Vegetable_Intake_Per_Day,int64,candidate_predictor,0.09172153503580749,0.09172153503580749,univariate_linear_r2,0.008412839989324739,True,True
Sleep_Duration_Hours,float64,candidate_predictor,0.08336595179389189,0.08336595179389189,univariate_linear_r2,0.006949881918501544,True,True
Early_Waker,str,candidate_predictor,,,eta_squared,0.006126736168106993,True,True
Number_of_Night_Awakenings,int64,candidate_predictor,-0.06374815444226128,0.06374815444226128,univariate_linear_r2,0.004063827194794589,True,True
Fruit_Intake_Per_Day,int64,candidate_predictor,0.05181507352926912,0.05181507352926912,univariate_linear_r2,0.002684801844843543,True,True
Country,str,candidate_predictor,,,eta_squared,0.0013986757407437606,True,True
Occupation,str,candidate_predictor,,,eta_squared,0.0013441740710246008,True,True
Breakfast_Regularity_Score,float64,candidate_predictor,0.02980168261648995,0.02980168261648995,univariate_linear_r2,0.0008881402867738641,True,True
Marital_Status,str,candidate_predictor,,,eta_squared,0.0006505386364249349,True,True
Exercise_Type,str,candidate_predictor,,,eta_squared,0.000534654704698518,True,True
Height_cm,float64,candidate_predictor,0.01750383733617216,0.01750383733617216,univariate_linear_r2,0.0003063843214911044,True,True
Nap_Frequency_Per_Week,int64,candidate_predictor,0.014412952883622186,0.014412952883622186,univariate_linear_r2,0.00020773321082545593,True,True
Gym_Member,str,candidate_predictor,,,eta_squared,0.00015619634858736906,True,True
Working_Hours_Per_Day,float64,candidate_predictor,-0.009317139298139366,0.009317139298139366,univariate_linear_r2,8.680908470082294e-05,True,True
Sitting_Hours_Per_Day,float64,candidate_predictor,-0.007398944635507871,0.007398944635507871,univariate_linear_r2,5.474438171926277e-05,True,True
Sugary_Drinks_Per_Week,int64,candidate_predictor,0.007044423736657029,0.007044423736657029,univariate_linear_r2,4.962390578167053e-05,True,True
Gender,str,candidate_predictor,,,eta_squared,4.638847150987695e-05,True,True
Screen_Time_Before_Bed_Hours,float64,candidate_predictor,0.005950421815888794,0.005950421815888794,univariate_linear_r2,3.540751978703405e-05,True,True
Weekend_Sleep_Difference_Hours,float64,candidate_predictor,0.00296407902282474,0.00296407902282474,univariate_linear_r2,8.785764453622669e-06,True,True
