Person_ID,split,cv_fold
P00803,development,2
P00804,holdout,-1
P00805,development,1
P00806,development,2
P00807,development,0
P00808,holdout,-1
P00809,development,3
P00810,development,0
P00811,development,2
P00812,holdout,-1
P00813,development,0
P00814,development,3
P00815,development,4
P00816,development,2
P00817,development,4
P00818,development,0
P00819,holdout,-1
P00820,holdout,-1
P00821,development,3
P00822,holdout,-1
P00823,holdout,-1
P00824,development,2
P00825,holdout,-1
P00826,development,1
P00827,development,1
P00828,development,0
P00829,development,1
P00830,holdout,-1
P00831,holdout,-1
P00832,development,4
P00833,development,1
P00834,development,0
P00835,holdout,-1
P00836,development,2
P00837,development,2
P00838,development,1
P00839,development,3
P00840,development,0
P00841,development,2
P00842,development,0
P00843,development,3
P00844,development,2
P00845,development,0
P00846,development,3
P00847,development,1
P00848,holdout,-1
P00849,development,3
P00850,development,1
P00851,development,2
P00852,holdout,-1
P00853,holdout,-1
P00854,development,1
P00855,development,4
P00856,development,0
P00857,development,3
P00858,holdout,-1
P00859,development,2
P00860,development,2
P00861,holdout,-1
P00862,development,0
P00863,development,1
P00864,development,3
P00865,development,1
P00866,development,0
P00867,development,3
P00868,development,3
P00869,development,2
P00870,development,0
P00871,development,3
P00872,development,4
P00873,development,1
P00874,development,4
P00875,development,0
P00876,holdout,-1
P00877,development,4
P00878,holdout,-1
P00879,holdout,-1
P00880,development,0
P00881,holdout,-1
P00882,development,0
P00883,development,3
P00884,development,1
P00885,development,4
P00886,development,2
P00887,development,0
P00888,development,2
P00889,development,2
P00890,development,0
P00891,development,0
P00892,development,0
P00893,development,0
P00894,development,2
P00895,development,2
P00896,development,4
P00897,development,4
P00898,development,0
P00899,development,4
P00900,development,4
P00901,development,3
P00902,development,3
P00903,development,3
P00904,development,1
P00905,development,4
P00906,development,2
P00907,development,0
P00908,development,1
P00909,development,3
P00910,development,1
P00911,development,2
P00912,development,2
P00913,development,0
P00914,development,1
P00915,development,1
P00916,holdout,-1
P00917,development,4
P00918,development,1
P00919,development,4
P00920,holdout,-1
P00921,development,4
P00922,development,1
P00923,development,0
P00924,development,2
P00925,holdout,-1
P00926,development,2
P00927,development,2
P00928,development,1
P00929,development,1
P00930,holdout,-1
P00931,development,0
P00932,development,2
P00933,holdout,-1
P00934,development,1
P00935,development,2
P00936,development,0
P00937,development,3
P00938,development,4
P00939,development,1
P00940,development,3
P00941,development,0
P00942,holdout,-1
P00943,development,4
P00944,development,1
P00945,development,2
P00946,development,1
P00947,development,4
P00948,development,0
P00949,development,4
P00950,holdout,-1
P00951,development,2
P00952,development,0
P00953,holdout,-1
P00954,development,0
P00955,holdout,-1
P00956,development,2
P00957,development,3
P00958,development,4
P00959,holdout,-1
P00960,development,0
P00961,development,2
P00962,holdout,-1
P00963,development,1
P00964,development,4
P00965,holdout,-1
P00966,development,0
P00967,holdout,-1
P00968,development,2
P00969,development,4
P00970,development,4
P00971,development,3
P00972,development,2
P00973,holdout,-1
P00974,development,4
P00975,development,4
P00976,development,0
P00977,holdout,-1
P00978,development,4
P00979,development,4
P00980,development,2
P00981,development,4
P00982,development,3
P00983,development,2
P00984,development,4
P00985,development,2
P00986,holdout,-1
P00987,development,1
P00988,development,2
P00989,development,1
P00990,development,2
P00991,development,1
P00992,holdout,-1
P00993,development,3
P00994,development,2
P00995,development,1
P00996,development,3
P00997,development,1
P00998,development,0
P00999,holdout,-1
P01000,development,0
P01001,development,0
P01002,development,0
P01003,development,4
P01004,development,1
P01005,development,3
P01006,development,4
P01007,development,3
P01008,holdout,-1
P01009,development,2
P01010,development,4
P01011,development,2
P01012,development,0
P01013,development,0
P01014,development,1
P01015,development,1
P01016,development,1
P01017,holdout,-1
P01018,development,4
P01019,development,2
P01020,development,4
P01021,holdout,-1
P01022,development,3
P01023,development,3
P01024,development,1
P01025,holdout,-1
P01026,development,1
P01027,development,2
P01028,holdout,-1
P01029,development,0
P01030,development,1
P01031,development,1
P01032,development,1
P01033,development,4
P01034,development,2
P01035,development,0
P01036,development,3
P01037,development,2
P01038,holdout,-1
P01039,holdout,-1
P01040,development,4
P01041,development,2
P01042,holdout,-1
P01043,development,0
P01044,development,1
P01045,development,4
P01046,development,0
P01047,development,3
P01048,development,0
P01049,holdout,-1
P01050,development,2
P01051,holdout,-1
P01052,development,1
P01053,holdout,-1
P01054,development,0
P01055,holdout,-1
P01056,development,0
P01057,development,0
P01058,development,1
P01059,development,4
P01060,development,3
P01061,development,1
P01062,development,0
P01063,development,0
P01064,development,1
P01065,development,0
P01066,development,3
P01067,development,2
P01068,development,4
P01069,development,1
P01070,development,1
P01071,development,3
P01072,development,4
P01073,development,3
P01074,development,1
P01075,development,4
P01076,development,4
P01077,development,4
P01078,development,0
P01079,development,3
P01080,development,3
P01081,development,1
P01082,development,1
P01083,development,0
P01084,development,2
P01085,holdout,-1
P01086,development,0
P01087,development,2
P01088,development,1
P01089,development,2
P01090,holdout,-1
P01091,development,2
P01092,development,4
P01093,development,3
P01094,development,1
P01095,development,4
P01096,holdout,-1
P01097,development,1
P01098,development,3
P01099,development,1
P01100,development,2
P01101,development,1
P01102,development,4
P01103,development,2
P01104,development,4
P01105,development,2
P01106,development,4
P01107,development,0
P01108,holdout,-1
P01109,development,4
P01110,development,0
P01111,development,3
P01112,holdout,-1
P01113,development,0
P01114,holdout,-1
P01115,development,2
P01116,development,1
P01117,holdout,-1
P01118,development,2
P01119,development,3
P01120,development,4
P01121,holdout,-1
P01122,development,2
P01123,development,4
P01124,holdout,-1
P01125,development,1
P01126,development,3
P01127,development,4
P01128,development,2
P01129,development,0
P01130,holdout,-1
P01131,development,4
P01132,holdout,-1
P01133,holdout,-1
P01134,development,4
P01135,development,3
P01136,development,2
P01137,development,3
P01138,holdout,-1
P01139,development,2
P01140,development,3
P01141,development,4
P01142,development,1
P01143,development,3
P01144,development,1
P01145,development,3
P01146,holdout,-1
P01147,holdout,-1
P01148,holdout,-1
P01149,development,0
P01150,holdout,-1
P01151,development,0
P01152,holdout,-1
P01153,development,2
P01154,holdout,-1
P01155,development,1
P01156,development,2
P01157,development,4
P01158,development,3
P01159,development,2
P01160,development,1
P01161,development,4
P01162,development,2
P01163,development,1
P01164,development,0
P01165,development,1
P01166,development,3
P01167,development,1
P01168,holdout,-1
P01169,development,0
P01170,development,0
P01171,holdout,-1
P01172,development,1
P01173,development,2
P01174,development,3
P01175,development,3
P01176,development,2
P01177,development,3
P01178,development,0
P01179,development,1
P01180,development,1
P01181,development,3
P01182,development,4
P01183,development,0
P01184,development,2
P01185,development,4
P01186,development,1
P01187,holdout,-1
P01188,development,2
P01189,development,4
P01190,holdout,-1
P01191,development,2
P01192,development,0
P01193,development,4
P01194,development,0
P01195,development,4
P01196,development,4
P01197,holdout,-1
P01198,development,4
P01199,development,1
P01200,development,3
P01201,holdout,-1
P01202,development,3
P01203,development,1
P01204,holdout,-1
P01205,development,0
P01206,development,4
P01207,holdout,-1
P01208,holdout,-1
P01209,development,3
P01210,development,2
P01211,holdout,-1
P01212,development,2
P01213,development,1
P01214,holdout,-1
P01215,development,0
P01216,development,3
P01217,development,3
P01218,holdout,-1
P01219,development,3
P01220,development,0
P01221,holdout,-1
P01222,development,0
P01223,development,2
P01224,development,4
P01225,development,0
P01226,development,0
P01227,development,4
P01228,development,0
P01229,development,2
P01230,development,3
P01231,development,2
P01232,holdout,-1
P01233,development,0
P01234,holdout,-1
P01235,development,3
P01236,holdout,-1
P01237,development,4
P01238,development,2
P01239,holdout,-1
P01240,development,4
P01241,development,2
P01242,development,1
P01243,holdout,-1
P01244,development,1
P01245,development,4
P01246,development,4
P01247,holdout,-1
P01248,development,2
P01249,holdout,-1
P01250,development,4
P01251,development,0
P01252,holdout,-1
P01253,development,2
P01254,development,1
P01255,development,3
P01256,development,4
P01257,development,1
P01258,development,1
P01259,development,1
P01260,development,3
P01261,holdout,-1
P01262,development,0
P01263,development,3
P01264,development,2
P01265,development,4
P01266,development,1
P01267,development,1
P01268,holdout,-1
P01269,holdout,-1
P01270,development,4
P01271,holdout,-1
P01272,development,3
P01273,development,0
P01274,development,3
P01275,development,2
P01276,holdout,-1
P01277,development,1
P01278,development,4
P01279,development,4
P01280,development,3
P01281,development,3
P01282,development,2
P01283,development,3
P01284,holdout,-1
P01285,development,0
P01286,development,3
P01287,development,4
P01288,holdout,-1
P01289,development,1
P01290,holdout,-1
P01291,development,4
P01292,development,1
P01293,development,2
P01294,development,0
P01295,development,3
P01296,development,4
P01297,development,2
P01298,development,2
P01299,development,4
P01300,development,4
P01301,development,0
P01302,development,3
P01303,development,2
P01304,development,4
P01305,development,0
P01306,development,0
P01307,development,2
P01308,holdout,-1
P01309,development,3
P01310,holdout,-1
P01311,development,4
P01312,holdout,-1
P01313,development,1
P01314,development,4
P01315,holdout,-1
P01316,development,1
P01317,development,4
P01318,development,4
P01319,development,0
P01320,development,3
P01321,development,2
P01322,development,4
P01323,development,4
P01324,development,3
P01325,development,3
P01326,development,4
P01327,holdout,-1
P01328,development,0
P01329,development,1
P01330,development,1
P01331,development,1
P01332,holdout,-1
P01333,holdout,-1
P01334,development,2
P01335,development,2
P01336,development,4
P01337,development,3
P01338,development,4
P01339,holdout,-1
P01340,development,0
P01341,holdout,-1
P01342,development,1
P01343,holdout,-1
P01344,development,3
P01345,development,4
P01346,holdout,-1
P01347,development,2
P01348,development,2
P01349,development,4
P01350,development,2
P01351,development,4
P01352,development,0
P01353,development,3
P01354,development,1
P01355,development,3
P01356,holdout,-1
P01357,holdout,-1
P01358,development,1
P01359,development,3
P01360,development,0
P01361,development,1
P01362,holdout,-1
P01363,holdout,-1
P01364,development,3
P01365,development,0
P01366,development,4
P01367,development,3
P01368,development,4
P01369,development,0
P01370,holdout,-1
P01371,development,2
P01372,development,4
P01373,development,2
P01374,development,2
P01375,development,1
P01376,holdout,-1
P01377,development,1
P01378,holdout,-1
P01379,development,3
P01380,development,2
P01381,holdout,-1
P01382,development,0
P01383,development,0
P01384,holdout,-1
P01385,development,2
P01386,development,0
P01387,development,0
P01388,development,2
P01389,development,0
P01390,development,4
P01391,development,0
P01392,development,4
P01393,development,1
P01394,development,4
P01395,development,4
P01396,development,0
P01397,holdout,-1
P01398,development,1
P01399,development,3
P01400,development,2
P01401,holdout,-1
P01402,development,3
P01403,holdout,-1
P01404,holdout,-1
P01405,development,4
P01406,development,1
P01407,development,1
P01408,development,0
P01409,development,2
P01410,development,3
P01411,development,3
P01412,development,1
P01413,development,4
P01414,development,0
P01415,development,0
P01416,development,1
P01417,holdout,-1
P01418,holdout,-1
P01419,development,4
P01420,development,1
P01421,holdout,-1
P01422,development,4
P01423,development,4
P01424,development,2
P01425,development,0
P01426,development,4
P01427,development,1
P01428,development,2
P01429,development,0
P01430,development,4
P01431,development,0
P01432,development,1
P01433,development,0
P01434,development,3
P01435,development,1
P01436,development,3
P01437,holdout,-1
P01438,development,3
P01439,development,0
P01440,development,4
P01441,development,1
P01442,holdout,-1
P01443,development,2
P01444,development,2
P01445,development,1
P01446,development,4
P01447,development,0
P01448,holdout,-1
P01449,development,2
P01450,development,0
P01451,development,4
P01452,development,1
P01453,development,1
P01454,development,0
P01455,development,0
P01456,development,0
P01457,holdout,-1
P01458,holdout,-1
P01459,development,0
P01460,holdout,-1
P01461,development,4
P01462,development,2
P01463,development,3
P01464,development,1
P01465,development,3
P01466,development,3
P01467,development,2
P01468,development,0
P01469,holdout,-1
P01470,development,0
P01471,development,1
P01472,holdout,-1
P01473,development,4
P01474,development,1
P01475,holdout,-1
P01476,holdout,-1
P01477,development,3
P01478,development,2
P01479,development,0
P01480,development,1
P01481,holdout,-1
P01482,development,0
P01483,holdout,-1
P01484,holdout,-1
P01485,holdout,-1
P01486,development,1
P01487,holdout,-1
P01488,development,4
P01489,development,1
P01490,holdout,-1
P01491,development,3
P01492,development,0
P01493,development,1
P01494,development,4
P01495,development,4
P01496,development,0
P01497,development,2
P01498,development,3
P01499,development,0
P01500,development,4
P01501,holdout,-1
P01502,holdout,-1
P01503,development,3
P01504,development,1
P01505,development,1
P01506,development,1
P01507,development,0
P01508,development,0
P01509,holdout,-1
P01510,holdout,-1
P01511,development,1
P01512,development,1
P01513,development,1
P01514,development,2
P01515,holdout,-1
P01516,development,0
P01517,development,1
P01518,development,2
P01519,development,4
P01520,development,1
P01521,development,1
P01522,development,2
P01523,holdout,-1
P01524,development,3
P01525,holdout,-1
P01526,development,2
P01527,development,3
P01528,development,1
P01529,development,0
P01530,holdout,-1
P01531,development,1
P01532,holdout,-1
P01533,development,4
P01534,holdout,-1
P01535,development,0
P01536,development,1
P01537,development,2
P01538,development,1
P01539,development,0
P01540,development,4
P01541,development,0
P01542,development,2
P01543,development,1
P01544,development,1
P01545,development,4
P01546,holdout,-1
P01547,development,4
P01548,development,4
P01549,development,0
P01550,holdout,-1
P01551,development,4
P01552,development,3
P01553,development,3
P01554,development,0
P01555,development,2
P01556,development,4
P01557,development,4
P01558,holdout,-1
P01559,holdout,-1
P01560,development,3
P01561,development,0
P01562,development,1
P01563,development,4
P01564,development,0
P01565,holdout,-1
P01566,development,2
P01567,development,1
P01568,development,0
P01569,development,2
P01570,development,0
P01571,development,2
P01572,development,4
P01573,development,4
P01574,development,2
P01575,development,2
P01576,development,2
P01577,development,4
P01578,development,3
P01579,development,1
P01580,development,4
P01581,development,1
P01582,development,1
P01583,development,3
P01584,development,4
P01585,development,3
P01586,holdout,-1
P01587,development,0
P01588,development,0
P01589,holdout,-1
P01590,development,1
P01591,development,4
P01592,development,4
P01593,development,4
P01594,development,2
P01595,development,1
P01596,development,1
P01597,development,4
P01598,holdout,-1
P01599,development,3
P01600,development,3
P01601,development,0
P01602,holdout,-1
P01603,development,4
P01604,holdout,-1
P01605,holdout,-1
P01606,development,0
P01607,development,4
P01608,development,2
P01609,holdout,-1
P01610,development,1
P01611,holdout,-1
P01612,development,4
P01613,development,4
P01614,development,3
P01615,development,3
P01616,development,3
P01617,development,1
P01618,development,0
P01619,development,3
P01620,development,3
P01621,holdout,-1
P01622,holdout,-1
P01623,development,0
P01624,development,0
P01625,development,3
P01626,development,3
